iteration,best_fitness,best_rmse,n_selected
0,0.040740770004517105,2.4214629018732325,8
1,0.07135198008871098,2.3406140761007745,10
2,0.07501673480201598,2.3360725170511007,7
3,0.07501673480201598,2.3360725170511007,7
4,0.07501673480201598,2.3360725170511007,7
5,0.07501673480201598,2.3360725170511007,7
6,0.07501673480201598,2.3360725170511007,7
7,0.07501673480201598,2.3360725170511007,7
8,0.07501673480201598,2.3360725170511007,7
9,0.08914050701060029,2.300232999483367,7
10,0.08914050701060029,2.300232999483367,7
11,0.08914050701060029,2.300232999483367,7
12,0.08914050701060029,2.300232999483367,7
13,0.08914050701060029,2.300232999483367,7
14,0.08914050701060029,2.300232999483367,7
15,0.08914050701060029,2.300232999483367,7
16,0.08914050701060029,2.300232999483367,7
17,0.08914050701060029,2.300232999483367,7
18,0.08914050701060029,2.300232999483367,7
19,0.08914050701060029,2.300232999483367,7
20,0.10249168030036637,2.261596104392673,10
21,0.10249168030036637,2.261596104392673,10
22,0.10249168030036637,2.261596104392673,10
23,0.10249168030036637,2.261596104392673,10
24,0.10249168030036637,2.261596104392673,10
25,0.10249168030036637,2.261596104392673,10
26,0.10249168030036637,2.261596104392673,10
27,0.10249168030036637,2.261596104392673,10
28,0.10249168030036637,2.261596104392673,10
29,0.1303249858507607,2.1957260851044476,7
30,0.1303249858507607,2.1957260851044476,7
31,0.1303249858507607,2.1957260851044476,7
32,0.1303249858507607,2.1957260851044476,7
33,0.1303249858507607,2.1957260851044476,7
34,0.1303249858507607,2.1957260851044476,7
35,0.1303249858507607,2.1957260851044476,7
36,0.1303249858507607,2.1957260851044476,7
37,0.1303249858507607,2.1957260851044476,7
38,0.1303249858507607,2.1957260851044476,7
39,0.1303249858507607,2.1957260851044476,7
40,0.1303249858507607,2.1957260851044476,7
41,0.1303249858507607,2.1957260851044476,7
42,0.1303249858507607,2.1957260851044476,7
43,0.1303249858507607,2.1957260851044476,7
44,0.1303249858507607,2.1957260851044476,7
45,0.1303249858507607,2.1957260851044476,7
46,0.1303249858507607,2.1957260851044476,7
47,0.1303249858507607,2.1957260851044476,7
48,0.1303249858507607,2.1957260851044476,7
49,0.1303249858507607,2.1957260851044476,7
50,0.1303249858507607,2.1957260851044476,7
51,0.1303249858507607,2.1957260851044476,7
52,0.1303249858507607,2.1957260851044476,7
53,0.1303249858507607,2.1957260851044476,7
54,0.1303249858507607,2.1957260851044476,7
55,0.1303249858507607,2.1957260851044476,7
56,0.1303249858507607,2.1957260851044476,7
57,0.1303249858507607,2.1957260851044476,7
58,0.1303249858507607,2.1957260851044476,7
59,0.1303249858507607,2.1957260851044476,7
60,0.1303249858507607,2.1957260851044476,7
61,0.1303249858507607,2.1957260851044476,7
62,0.1303249858507607,2.1957260851044476,7
63,0.1303249858507607,2.1957260851044476,7
64,0.1303249858507607,2.1957260851044476,7
65,0.1303249858507607,2.1957260851044476,7
66,0.1303249858507607,2.1957260851044476,7
67,0.1303249858507607,2.1957260851044476,7
68,0.1303249858507607,2.1957260851044476,7
69,0.1303249858507607,2.1957260851044476,7
70,0.1303249858507607,2.1957260851044476,7
71,0.1303249858507607,2.1957260851044476,7
72,0.1303249858507607,2.1957260851044476,7
73,0.1303249858507607,2.1957260851044476,7
74,0.1303249858507607,2.1957260851044476,7
75,0.1303249858507607,2.1957260851044476,7
76,0.1303249858507607,2.1957260851044476,7
77,0.1303249858507607,2.1957260851044476,7
78,0.1303249858507607,2.1957260851044476,7
79,0.1303249858507607,2.1957260851044476,7
80,0.1303249858507607,2.1957260851044476,7
81,0.1303249858507607,2.1957260851044476,7
82,0.1303249858507607,2.1957260851044476,7
83,0.1303249858507607,2.1957260851044476,7
84,0.1303249858507607,2.1957260851044476,7
85,0.1303249858507607,2.1957260851044476,7
86,0.1303249858507607,2.1957260851044476,7
87,0.13795719292640635,2.1795310332988476,5
88,0.13795719292640635,2.1795310332988476,5
89,0.13795719292640635,2.1795310332988476,5
90,0.13795719292640635,2.1795310332988476,5
91,0.13795719292640635,2.1795310332988476,5
92,0.13795719292640635,2.1795310332988476,5
93,0.13795719292640635,2.1795310332988476,5
94,0.13795719292640635,2.1795310332988476,5
95,0.13795719292640635,2.1795310332988476,5
96,0.13880172090048729,2.1726301452666985,8
97,0.13880172090048729,2.1726301452666985,8
98,0.13880172090048729,2.1726301452666985,8
99,0.13880172090048729,2.1726301452666985,8
