iteration,best_fitness,best_rmse,n_selected
0,0.6638050024022389,3.0980582517604,9
1,0.6638050024022389,3.0980582517604,9
2,0.6674719684403655,3.063784017727863,9
3,0.6674719684403655,3.063784017727863,9
4,0.6755479093816359,2.9932195192786724,8
5,0.6755479093816359,2.9932195192786724,8
6,0.6755479093816359,2.9932195192786724,8
7,0.6755479093816359,2.9932195192786724,8
8,0.6755479093816359,2.9932195192786724,8
9,0.6755479093816359,2.9932195192786724,8
10,0.6755479093816359,2.9932195192786724,8
11,0.6755479093816359,2.9932195192786724,8
12,0.6755479093816359,2.9932195192786724,8
13,0.6755479093816359,2.9932195192786724,8
14,0.6755479093816359,2.9932195192786724,8
15,0.6755479093816359,2.9932195192786724,8
16,0.6755479093816359,2.9932195192786724,8
17,0.6755479093816359,2.9932195192786724,8
18,0.6755479093816359,2.9932195192786724,8
19,0.6755479093816359,2.9932195192786724,8
20,0.6755479093816359,2.9932195192786724,8
21,0.6755479093816359,2.9932195192786724,8
22,0.6755479093816359,2.9932195192786724,8
23,0.6755479093816359,2.9932195192786724,8
24,0.6755479093816359,2.9932195192786724,8
25,0.6755479093816359,2.9932195192786724,8
26,0.6755479093816359,2.9932195192786724,8
27,0.6755479093816359,2.9932195192786724,8
28,0.6755479093816359,2.9932195192786724,8
29,0.6755479093816359,2.9932195192786724,8
30,0.6755479093816359,2.9932195192786724,8
31,0.6755479093816359,2.9932195192786724,8
32,0.6840936594506036,2.91334448504001,8
33,0.6840936594506036,2.91334448504001,8
34,0.6840936594506036,2.91334448504001,8
35,0.6840936594506036,2.91334448504001,8
36,0.6840936594506036,2.91334448504001,8
37,0.6840936594506036,2.91334448504001,8
38,0.6840936594506036,2.91334448504001,8
39,0.6840936594506036,2.91334448504001,8
40,0.6840936594506036,2.91334448504001,8
41,0.6840936594506036,2.91334448504001,8
42,0.6840936594506036,2.91334448504001,8
43,0.6840936594506036,2.91334448504001,8
44,0.6840936594506036,2.91334448504001,8
45,0.6840936594506036,2.91334448504001,8
46,0.6840936594506036,2.91334448504001,8
47,0.6840936594506036,2.91334448504001,8
48,0.6840936594506036,2.91334448504001,8
49,0.6840936594506036,2.91334448504001,8
50,0.6840936594506036,2.91334448504001,8
51,0.6840936594506036,2.91334448504001,8
52,0.6840936594506036,2.91334448504001,8
53,0.6840936594506036,2.91334448504001,8
54,0.6840936594506036,2.91334448504001,8
55,0.6840936594506036,2.91334448504001,8
56,0.6840936594506036,2.91334448504001,8
57,0.6840936594506036,2.91334448504001,8
58,0.6840936594506036,2.91334448504001,8
59,0.6840936594506036,2.91334448504001,8
60,0.6840936594506036,2.91334448504001,8
61,0.6840936594506036,2.91334448504001,8
62,0.6840936594506036,2.91334448504001,8
63,0.6840936594506036,2.91334448504001,8
64,0.6840936594506036,2.91334448504001,8
65,0.6840936594506036,2.91334448504001,8
66,0.6840936594506036,2.91334448504001,8
67,0.6840936594506036,2.91334448504001,8
68,0.6840936594506036,2.91334448504001,8
69,0.6840936594506036,2.91334448504001,8
70,0.6840936594506036,2.91334448504001,8
71,0.6840936594506036,2.91334448504001,8
72,0.6840936594506036,2.91334448504001,8
73,0.6840936594506036,2.91334448504001,8
74,0.6840936594506036,2.91334448504001,8
75,0.6840936594506036,2.91334448504001,8
76,0.6840936594506036,2.91334448504001,8
77,0.6840936594506036,2.91334448504001,8
78,0.6840936594506036,2.91334448504001,8
79,0.6840936594506036,2.91334448504001,8
80,0.6840936594506036,2.91334448504001,8
81,0.6840936594506036,2.91334448504001,8
82,0.6840936594506036,2.91334448504001,8
83,0.6840936594506036,2.91334448504001,8
84,0.6840936594506036,2.91334448504001,8
85,0.6840936594506036,2.91334448504001,8
86,0.6840936594506036,2.91334448504001,8
87,0.6840936594506036,2.91334448504001,8
88,0.6840936594506036,2.91334448504001,8
89,0.6840936594506036,2.91334448504001,8
90,0.6840936594506036,2.91334448504001,8
91,0.6840936594506036,2.91334448504001,8
92,0.6840936594506036,2.91334448504001,8
93,0.6840936594506036,2.91334448504001,8
94,0.6840936594506036,2.91334448504001,8
95,0.6840936594506036,2.91334448504001,8
96,0.6840936594506036,2.91334448504001,8
97,0.6840936594506036,2.91334448504001,8
98,0.6840936594506036,2.91334448504001,8
99,0.6840936594506036,2.91334448504001,8
