feature,mit_train_mean,mit_train_std,b0018_mean,zscore,mit_train_pctile_of_b0018_mean
ICHV,26.546263950711513,11.902812269461053,10200.213045454546,854.7279879063814,100.0
TEVI,12.96617625901896,6.0786808967798125,2565.569015151515,419.9270996845286,100.0
fusion_2,0.6714462684946295,0.07570536030648939,2.966927136363636,30.32124619149643,99.99454773458372
fusion_1,0.4586032925303964,0.06859190752557494,1.7310975590909092,18.551667572243197,100.0
fusion_11,1.1380189520217001,0.08130718922602485,2.633991022727273,18.399013481414766,99.99454773458372
fusion_9,1.873532934441961,0.12551333316713142,0.37917408666666663,-11.905976919483377,0.0
fusion_13,1.2671479027206807,0.09534849541945237,2.226886928787879,10.065591720615643,99.98364320375116
fusion_7,1.1547144903385858,0.09126581798384509,2.0408698060606056,9.709607992324989,99.98364320375116
fusion_15,1.1032515506869853,0.1673348196553342,2.285314237121212,7.064056894249299,100.0
VIECT,3.459793112921869,0.06233156129881266,3.889418828221885,6.892587099502024,100.0
fusion_14,0.6664490941884303,0.09201567414491921,1.1919978740909092,5.711513660974442,100.0
fusion_8,1.1037643530549044,0.15147379870576927,1.9626427159090911,5.670144739173787,100.0
fusion_3,1.4589274188702905,0.1007236708570948,0.8890472677272727,-5.657857247394756,0.0
fusion_4,1.181255016445123,0.1547017698774213,0.36843666901515154,-5.254098567030049,0.0054522654162804645
fusion_10,0.31496941502262693,0.11689807692807956,0.9286176635606059,5.249429799563943,99.92366828417207
SCV,0.6406987018464287,0.04537177899207551,0.8779448100700524,5.228935551878192,99.99454773458372
fusion_0,1.3720182080993402,0.19430351726928508,0.4044455096212122,-4.979697290487901,0.3816585791396325
fusion_12,1.2382235369788999,0.16577476858072956,0.4163149377272727,-4.957983692502465,0.05997491957908511
fusion_6,1.0035682801466659,0.12971423194888113,0.37067173984848495,-4.879160372684457,0.1090453083256093
MATC,33.86495565968337,1.9545682465717265,25.21633757818148,-4.424822769259344,0.010904530832560929
fusion_5,0.3672233615134944,0.06963525832867473,0.5745132259848484,2.9767946503904223,97.47560111226214
MATD,34.331390762077135,1.7513011596426955,31.094192369945784,-1.8484532910329434,6.3246278828853395
VDEDT,562.92490170977,354437.2973671417,0.0016306028887860915,-0.0015882168024878617,67.49359358813587
