battery_id,rmse
B0044,40.04958724975586
B0053,16.709552764892578
B0030,14.034025192260742
b2c9,3.6278610229492188
b2c47,2.962153673171997
b4c34,2.959240674972534
B0025,2.6723928451538086
b4c20,2.5749378204345703
b4c16,2.56309175491333
b2c32,2.4448978900909424
b4c25,2.363572597503662
b3c21,2.124817371368408
b1c5,2.0138447284698486
b3c4,1.9350523948669434
b1c23,1.8992977142333984
b4c39,1.6644634008407593
b3c26,1.6625622510910034
b3c17,1.6604145765304565
b3c35,1.6249077320098877
b4c11,1.541231632232666
b1c41,1.5366889238357544
b2c19,1.3342232704162598
b4c43,1.2974259853363037
b1c19,1.2277159690856934
b2c37,1.17953622341156
b4c3,1.1709825992584229
b3c12,1.0241303443908691
b1c13,1.0224138498306274
b4c8,0.9819594621658325
b2c0,0.8892285227775574
b2c23,0.8524304628372192
b2c41,0.8360195159912109
b2c14,0.7408930659294128
b1c32,0.7082886695861816
b3c44,0.7047882080078125
b2c28,0.7016966342926025
b3c30,0.6147662401199341
b1c28,0.6066717505455017
b1c37,0.5457887053489685
b3c8,0.4898734986782074
