fold,r2,rmse,n_test
0,0.9797716017485173,2.1689527525100694,3993
1,0.9908537876010718,1.3037622312304762,5337
2,0.9852195616858549,1.420881658486091,6639
3,0.9638238678774786,2.025859777142716,5759
4,0.5665654562971936,6.9168799164483525,4770
