domain,n_points,auc,effective_sample_size,ess_pct,frac_degenerate_interval,mean_width_finite_only,min_width,max_width_finite,empirical_coverage,target_coverage
NASA+MIT eval half (in-domain),3462,0.7465890509495005,968.2958575812291,55.457952896977616,0.0,2.521420327283563,1.2376643038795834,1.8741554166133625,0.6955517042172155,0.9
"CALCE (out-of-domain, zero-retrain, MMD-aligned)",2941,0.9355252380434923,89.97233287508043,5.153054574746874,0.0,4.384817508997087,2.191408705135146,2.2102419909088127,0.0435226113566814,0.9
