approach,format,size_kb,rmse,mae,r2,fidelity_to_teacher_r2_train
XGB-distill n=5 depth=2,pickle,8.3505859375,2.1869621480456263,1.5710724131297513,0.7955261304859677,0.8849808573722839
XGB-distill n=3 depth=2,pickle,6.6025390625,2.7130517533424565,2.0639225946055615,0.6853183347571219,0.759645938873291
single DecisionTree depth=4,pickle,3.138671875,2.3672502253572043,1.2733507227871026,0.7604238308391511,0.945070064924
single DecisionTree depth=6,pickle,9.326171875,2.1559413432376315,1.085123871858148,0.8012856800852354,0.9803565543641037
single DecisionTree depth=8,pickle,33.2353515625,2.2922782391469667,1.1338587376168465,0.7753585227819975,0.992153661739304
