condition,noise_level,n,rmse,mae,r2
clean-trained,clean (baseline),5208,0.6254671979101946,0.41892923745490424,0.9832750680286539
clean-trained,1x BMS-grade,5208,0.9014671983438082,0.5502853593574367,0.9652579740393916
clean-trained,2x BMS-grade,5208,1.0460379138093652,0.6966280990670647,0.9532210860335735
clean-trained,5x BMS-grade (stress),5208,1.7104470066512438,1.1843872301541234,0.874923842758923
noise-augmented,clean (baseline),5208,0.6264169805788986,0.41567581970757866,0.9832242352705634
noise-augmented,1x BMS-grade,5208,0.9091475840280917,0.54731737876984,0.9646634569070484
noise-augmented,2x BMS-grade,5208,1.0406239095720555,0.6762166982836845,0.9537040624723357
noise-augmented,5x BMS-grade (stress),5208,1.6459310621367278,1.1117017259148267,0.8841813320321701
