stacking,variant,dropped,rmse,mae,r2,delta_r2_vs_full
NCL (this item),full_4_branch,none,1.462421493092196,1.0250532684717524,0.9085675398123003,
NCL (this item),drop_pred_XGBoost,pred_XGBoost,1.987335316201197,1.2352351174152618,0.8311513534871079,-0.07741618632519243
NCL (this item),drop_pred_VLSTM,pred_VLSTM,1.4917497525866845,1.0395759512504343,0.9048634864049923,-0.003704053407308061
NCL (this item),drop_pred_CNNLSTM,pred_CNNLSTM,1.4634816656589595,1.0257186006998769,0.9084349250738656,-0.00013261473843473315
NCL (this item),drop_pred_PiFormer,pred_PiFormer,1.4626490299565877,1.0253196230177775,0.9085390858079646,-2.845400433570955e-05
