dataset,auc_original_8feat,auc_extended_8feat
CALCE,0.988066831478243,0.9800997869998782
Oxford,0.9999479926601503,0.9540776982483928
HUST,0.9993055904154611,0.9801957438718244
XJTU,0.9998836148702652,0.9942460383964877
