battery_id,5x BMS-grade (stress),clean,delta_rmse
B0025,2.7991360523593563,2.1522304276613182,0.646905624698038
B0030,3.8383833474265905,3.2290161261795274,0.6093672212470631
B0044,9.9871258833883,7.771194517794445,2.215931365593855
B0053,40.773055031497975,74.71146647373648,-33.938411442238504
b1c13,1.3869415534039615,0.37078939304339886,1.0161521603605626
b1c19,1.4160556129860205,0.6496112266050779,0.7664443863809426
b1c23,1.5311011417201537,0.6373962355295172,0.8937049061906365
b1c28,1.2943764943437042,0.40318362526841983,0.8911928690752844
b1c32,1.4487991753856517,0.3549098347278537,1.093889340657798
b1c37,1.422848965256938,0.26739924779499424,1.1554497174619438
b1c41,1.403692080762667,0.6184477192948544,0.7852443614678125
b1c5,1.582165747682669,0.9511516968390374,0.6310140508436315
b2c0,2.818942172991566,1.174378023493896,1.6445641494976697
b2c14,1.884759869344353,0.5725216081447746,1.3122382611995784
b2c19,2.474727588651124,0.6516352020612447,1.8230923865898792
b2c23,2.0837955979253593,0.2932378677287805,1.7905577301965787
b2c28,1.527175074480534,0.3405831066232264,1.1865919678573076
b2c32,2.2491811745868144,0.5240583865255061,1.7251227880613085
b2c37,2.0353589094304114,0.6955976008856993,1.3397613085447122
b2c41,1.9347868966146866,0.3415408347117634,1.5932460619029232
b2c47,2.045893309957775,0.9894318347542455,1.0564614752035295
b2c9,2.1091790002256032,1.7385397043858952,0.370639295839708
b3c12,1.3527055438210867,0.7631572345420973,0.5895483092789894
b3c17,1.954794452525261,0.3916637913449576,1.5631306611803033
b3c21,1.9060918398423126,0.7434999606626971,1.1625918791796155
b3c26,1.6010408621963668,0.8088440070135479,0.7921968551828189
b3c30,1.0844699081530353,0.595307590934958,0.48916231721807735
b3c35,1.4537327633702635,0.47094027295020824,0.9827924904200552
b3c4,1.6017563865347344,0.9949640487521012,0.6067923377826332
b3c44,1.1338250206264993,0.39072895574127553,0.7430960648852237
b3c8,1.0886703244825475,0.3802240991154215,0.708446225367126
b4c11,1.4897867432896452,0.5157004503476357,0.9740862929420095
b4c16,1.5661311871277546,0.9921897527714183,0.5739414343563363
b4c20,1.1740751847492432,0.7953576995056777,0.3787174852435655
b4c25,2.0374107247669193,2.03646650255781,0.000944222209109391
b4c3,1.8073859579533864,1.1802625454569402,0.6271234124964462
b4c34,2.6874952094456757,1.1340512572987644,1.5534439521469112
b4c39,1.5829070504540679,1.0991061263418926,0.48380092411217523
b4c43,1.9216305336887112,1.1877820031461943,0.7338485305425169
b4c8,1.205697418300234,0.644730993589043,0.5609664247111911
