battery_id,cycle_idx,current_pred,target,found,cf_pred,vdedt_changed,n_features_changed,changed_features
b4c38,51,100.16541290283203,85.16541290283203,True,82.25929260253906,True,2,"{'SCV_rel': (0.9992240841638612, 0.8), 'VDEDT': (-4.146243714378322e-05, 0.10249787)}"
b4c38,51,100.16541290283203,85.16541290283203,True,82.27310180664062,True,2,"{'SCV_rel': (0.9992240841638612, 0.8), 'VDEDT': (-4.146243714378322e-05, 0.12959576)}"
b4c38,51,100.16541290283203,85.16541290283203,True,82.26525115966797,True,2,"{'SCV_rel': (0.9992240841638612, 0.8), 'VDEDT': (-4.146243714378322e-05, 0.20646635)}"
b3c0,406,98.83810424804688,83.83810424804688,True,82.72095489501953,False,2,"{'SCV_rel': (0.9860885771610945, 0.8), 'VIECT_rel': (0.0019445000000000157, 1.7)}"
b3c0,406,98.83810424804688,83.83810424804688,True,82.60417175292969,False,2,"{'SCV_rel': (0.9860885771610945, 0.8), 'cycle_idx': (406.0, 898.9)}"
b3c0,406,98.83810424804688,83.83810424804688,True,82.62326049804688,False,2,"{'SCV_rel': (0.9860885771610945, 0.8), 'cycle_idx': (406.0, 814.5)}"
b3c35,521,98.07833099365234,83.07833099365234,True,82.4572525024414,False,2,"{'SCV_rel': (0.9792557524157015, 0.8), 'cycle_idx': (521.0, 1149.6)}"
b3c35,521,98.07833099365234,83.07833099365234,True,82.6192626953125,False,2,"{'SCV_rel': (0.9792557524157015, 0.8), 'MATD_rel': (1.0006711480980286, 0.4)}"
b3c35,521,98.07833099365234,83.07833099365234,True,82.4525375366211,False,2,"{'SCV_rel': (0.9792557524157015, 0.8), 'cycle_idx': (521.0, 1883.7)}"
b1c4,333,99.55052185058594,84.55052185058594,True,82.95460510253906,False,2,"{'ICHV_rel': (0.9997602513278546, 0.7), 'SCV_rel': (0.9934309121352868, 0.8)}"
b1c4,333,99.55052185058594,84.55052185058594,True,81.96998596191406,False,2,"{'SCV_rel': (0.9934309121352868, 0.8), 'TEVD_rel': (0.9835521955526954, 8.5)}"
b1c4,333,99.55052185058594,84.55052185058594,True,81.6356201171875,False,2,"{'SCV_rel': (0.9934309121352868, 0.8), 'cycle_idx': (333.0, 1788.4)}"
b3c0,376,99.03601837158203,84.03601837158203,True,82.86209106445312,True,2,"{'SCV_rel': (0.9883873299273916, 0.8), 'VDEDT': (-4.1386916134141706e-05, 0.05955543)}"
b3c0,376,99.03601837158203,84.03601837158203,True,82.45318603515625,False,2,"{'SCV_rel': (0.9883873299273916, 0.8), 'MET_rel': (0.9831545466714837, 0.4)}"
b3c0,376,99.03601837158203,84.03601837158203,True,82.74127960205078,False,2,"{'SCV_rel': (0.9883873299273916, 0.8), 'VIECT_rel': (0.0008745000000001113, 1.4)}"
