variant,domain,rmse,mae,r2
FULL (incl. MATC/MATD),NASA+MIT (in-domain),1.3941677100436094,0.9657703816426715,0.9169030042151858
REDUCED (no MATC/MATD),NASA+MIT (in-domain),1.3108174554570198,0.8666126259346002,0.9265418959333996
FULL (incl. MATC/MATD),CALCE (zero-retrain),17.998954599641255,14.22297166484668,0.30134565634701016
REDUCED (no MATC/MATD),CALCE (zero-retrain),18.134061293603775,14.614824040846859,0.2908175835421898
