pair,original,ncl,delta
VLSTM-CNNLSTM,0.7886542483957528,0.8303016421247764,0.041647393729023596
VLSTM-PiFormer,0.9198019419574471,0.8894590919823859,-0.030342849975061204
CNNLSTM-PiFormer,0.819868909910731,0.8088477277916394,-0.011021182119091644
