noise_level,sigma_V_mV,sigma_I_mA,sigma_T_degC,n,rmse,mae,r2,delta_rmse_vs_clean,delta_r2_vs_clean
clean (baseline),0.0,0.0,0.0,5208,0.780492685553031,0.30634620928717876,0.9739568832487542,0.0,0.0
1x BMS-grade,1.0,10.0,0.5,5208,0.813540914365558,0.3479912233113724,0.9717047144194468,0.033048228812527,-0.002252168829307344
2x BMS-grade,2.0,20.0,1.0,5208,0.8137807773054524,0.3542322921351984,0.971688026897537,0.03328809175242142,-0.0022688563512172077
5x BMS-grade (stress),5.0,50.0,2.5,5208,0.8950491180209872,0.4537564426298647,0.9657509112430056,0.11455643246795622,-0.008205972005748574
