battery_id,rmse
B0053,19.025739669799805
B0044,11.604023933410645
B0030,3.257995367050171
b4c25,2.6128947734832764
b2c9,1.7991478443145752
b2c47,1.682226538658142
B0025,1.5314022302627563
b4c3,1.5139809846878052
b4c34,1.4603441953659058
b4c43,1.4599937200546265
b4c16,1.3119946718215942
b4c39,1.241231918334961
b1c5,1.172952651977539
b3c4,1.1619690656661987
b4c20,1.1483783721923828
b2c32,1.0364347696304321
b1c41,1.0221760272979736
b2c0,1.0144875049591064
b3c21,1.0032755136489868
b4c8,0.777096688747406
b1c19,0.7662268877029419
b1c23,0.7643659710884094
b3c17,0.7060895562171936
b3c26,0.7035042643547058
b4c11,0.6213476657867432
b1c28,0.615829586982727
b2c23,0.6042265295982361
b3c30,0.6029068231582642
b2c37,0.6026065945625305
b1c13,0.5778542160987854
b2c41,0.5751702785491943
b3c12,0.5723320245742798
b2c14,0.541806161403656
b2c19,0.5403022170066833
b2c28,0.5314401388168335
b1c32,0.4897371232509613
b1c37,0.41130349040031433
b3c35,0.40550971031188965
b3c8,0.36778566241264343
b3c44,0.3103920817375183
