model,rmse,mae,r2,train_seconds
VLSTM-huber,3.1007112733033733,1.232101321220398,0.8100347518920898,2587.115809440613
CNNLSTM-huber,1.353126679170549,0.81712806224823,0.9638233184814453,1024.81369805336
CNNBiGRU-huber,1.2759062818472888,0.6534768342971802,0.9678345918655396,8295.141206026077
PiFormer-huber-noise,1.489992774587432,0.750968337059021,0.9561348557472229,8008.080558300018
