component,precision,size_kb,rmse,mae,r2
ICAEncoder,FP32,9.1455078125,1.3920575596100824,0.9593311548233032,0.9171543717384338
ICAEncoder,FP16,5.8955078125,1.3922159331187194,0.9594374299049377,0.91713547706604
ICAEncoder,INT8,6.1240234375,1.3895385870337145,0.9577411413192749,0.9174538850784302
XGBoost-fusion,as-is (JSON),2845.734375,,,
XGBoost-fusion,"as-is (UBJ, aside)",1981.03515625,,,
