family,n,r2,rmse
NASA_MIT,26762,0.2553219795227051,5.640840901393081
Oxford,519,-0.9751397371292114,9.604459966344656
HUST,146122,0.4516029953956604,5.463371203890417
XJTU,19238,0.16774463653564453,5.485880327266344
