fold,r2,rmse,n_test_batteries
0,0.9936032507781808,0.42293585802789974,6
1,0.9580503975290464,0.9305077668350755,9
2,0.9408527693215969,1.7076714480864499,9
3,0.9792761114455389,0.9012158546456756,8
4,0.9570316709114072,1.7315351050425327,8
