cell,channel,frac_clipped_old,frac_clipped_new,frac_sat_old,frac_sat_new
CS2_35,dQdV,0.2569152360515021,0.08430257510729613,0.0,0.0
CS2_35,dVdQ,0.13756437768240343,0.13621244635193133,0.0,0.0
CS2_36,dQdV,0.2469598765432099,0.07907407407407407,0.0,0.0
CS2_36,dVdQ,0.08891460905349795,0.056023662551440326,0.0,0.0
CS2_37,dQdV,0.22332690453230472,0.03906460945033751,0.0,0.0
CS2_37,dVdQ,0.0013066538090646094,0.0011475409836065574,0.0,0.0
