fold,r2,rmse,n_test
0,0.9936435159464292,0.6738571051608454,29894
1,0.9961252704079154,0.45655864397734597,29736
2,0.9841862482482907,0.8705510003940422,31783
3,0.9250841416919507,1.7889582029932545,31028
4,0.9970310880607031,0.4558133925780341,30803
