condition,model,r2,rmse
clean,MSE-baseline,0.7795131206512451,3.3405321270671493
clean,Huber+noise-1.4,0.9561348557472229,1.489992774587432
5x BMS-grade (stress),MSE-baseline,0.8752171993255615,2.5130530057175275
5x BMS-grade (stress),Huber+noise-1.4,0.9381881952285767,1.768723191775914
