target,equation,r2_vs_target,r2_vs_true_soh,expression_length_chars
deployed model's own predictions,"add(sqrt(mul(div(0.229, ICHV_rel), sub(log(cycle_idx), sub(mul(cycle_idx, VIECT_rel), mul(div(MET_rel, log(TEVI_rel)), div(MET_rel, MET_rel)))))), abs(add(sub(add(sqrt(mul(div(0.229, ICHV_rel), sub(div(mul(0.298, sqrt(div(MET_rel, MET_rel))), log(SCV_rel)), sub(mul(cycle_idx, VIECT_rel), sqrt(abs(sqrt(cycle_idx))))))), abs(add(sub(add(sqrt(mul(div(MET_rel, log(TEVI_rel)), div(MET_rel, MET_rel))), abs(add(sub(abs(add(sub(div(div(log(cycle_idx), div(0.229, ICHV_rel)), div(0.229, SCV_rel)), sqrt(mul(SCV_rel, -0.497))), sqrt(div(0.229, ICHV_rel)))), sqrt(abs(sqrt(cycle_idx)))), sqrt(div(0.229, ICHV_rel))))), sqrt(mul(sqrt(div(0.229, ICHV_rel)), -0.497))), sqrt(sqrt(sqrt(VIECT_rel)))))), sqrt(mul(sqrt(add(abs(sqrt(cycle_idx)), sqrt(mul(abs(sub(TEVI_rel, cycle_idx)), sub(sub(add(sqrt(mul(div(MET_rel, log(TEVI_rel)), div(MET_rel, MET_rel))), abs(add(sub(abs(add(sub(div(div(log(cycle_idx), div(0.229, ICHV_rel)), div(0.229, SCV_rel)), sqrt(mul(SCV_rel, -0.497))), sqrt(div(0.229, ICHV_rel)))), sqrt(abs(sqrt(cycle_idx)))), sqrt(div(0.229, ICHV_rel))))), sqrt(mul(sqrt(add(abs(sqrt(cycle_idx)), sqrt(mul(sqrt(log(SCV_rel)), abs(add(sub(add(sqrt(mul(div(0.229, ICHV_rel), sub(div(mul(0.298, MATD_rel), div(MET_rel, MET_rel)), sub(mul(cycle_idx, VIECT_rel), sqrt(div(MET_rel, MET_rel)))))), abs(add(sub(div(div(log(cycle_idx), div(0.229, ICHV_rel)), div(0.229, SCV_rel)), sqrt(mul(sqrt(add(abs(sqrt(cycle_idx)), sqrt(mul(sqrt(div(MET_rel, MET_rel)), sub(add(VIECT_rel, 0.374), log(sub(cycle_idx, SCV_rel))))))), -0.497))), sqrt(sqrt(sqrt(VIECT_rel)))))), sqrt(mul(sqrt(add(abs(sqrt(cycle_idx)), sqrt(mul(abs(sub(TEVI_rel, cycle_idx)), sub(add(VIECT_rel, 0.374), log(sub(cycle_idx, SCV_rel))))))), log(cycle_idx)))), div(MET_rel, MET_rel))))))), -0.497))), log(sub(cycle_idx, SCV_rel))))))), log(cycle_idx)))), sqrt(sqrt(div(sqrt(div(MET_rel, MET_rel)), MET_rel))))))",-1.9194990888969885,-1.9115894019240955,1868
true SOH,"add(sqrt(mul(div(0.229, ICHV_rel), sub(div(mul(0.298, MATD_rel), 0.229), sub(mul(cycle_idx, VIECT_rel), sqrt(div(MET_rel, MET_rel)))))), abs(add(sub(add(sqrt(mul(div(0.229, ICHV_rel), sub(div(mul(SCV_rel, -0.497), log(SCV_rel)), sub(mul(cycle_idx, VIECT_rel), div(MET_rel, log(TEVI_rel)))))), abs(add(sub(div(div(log(cycle_idx), div(0.229, ICHV_rel)), div(0.229, SCV_rel)), sqrt(add(sqrt(mul(log(TEVI_rel), sub(div(mul(0.298, MATD_rel), log(SCV_rel)), sub(div(0.229, ICHV_rel), sqrt(sub(add(VIECT_rel, 0.374), log(sub(cycle_idx, SCV_rel)))))))), abs(add(sub(div(div(mul(mul(div(0.229, ICHV_rel), sub(div(mul(0.298, MATD_rel), sqrt(mul(cycle_idx, VIECT_rel))), sqrt(add(mul(SCV_rel, -0.497), sqrt(mul(abs(sub(TEVI_rel, cycle_idx)), sub(add(VIECT_rel, 0.374), log(sub(cycle_idx, SCV_rel))))))))), log(sub(cycle_idx, SCV_rel))), div(0.229, ICHV_rel)), div(0.229, SCV_rel)), sqrt(mul(SCV_rel, mul(sqrt(mul(SCV_rel, -0.497)), div(mul(mul(div(0.229, ICHV_rel), sub(div(mul(0.298, MATD_rel), sqrt(mul(cycle_idx, VIECT_rel))), sqrt(add(abs(sqrt(div(MET_rel, MET_rel))), sqrt(mul(abs(sub(TEVI_rel, cycle_idx)), sub(add(VIECT_rel, 0.374), log(sub(cycle_idx, SCV_rel))))))))), log(sub(cycle_idx, SCV_rel))), div(0.229, ICHV_rel)))))), sqrt(sqrt(div(sqrt(div(MET_rel, MET_rel)), MET_rel)))))))), sqrt(sqrt(div(div(MET_rel, log(TEVI_rel)), MET_rel)))))), div(0.229, SCV_rel)), sqrt(div(MET_rel, log(TEVI_rel))))))",-1.948351444078038,-1.948351444078038,1400
