eval_set,r2,rmse,n_cycles
in-pool held-out cycles (val split),0.9758930802345276,0.08339736354860029,3233
in-domain (TEST batteries),0.9819221496582031,0.0669700342645742,5208
CALCE,-2.6524410247802734,0.45360850156107546,2941
Oxford,-4.240238189697266,0.5506660395038319,519
HUST,-9.176006317138672,0.5441935056909444,146122
XJTU,-5.541404724121094,0.7577760825304451,19238
