noise_level,n,rmse,r2
clean (baseline),5208,0.7652624786858279,0.9749633554669137
1x BMS-grade,5208,0.7762082404358288,0.9742420212170844
2x BMS-grade,5208,0.7864622493605625,0.973556980500971
5x BMS-grade (stress),5208,1.0986652434162285,0.9483956806099965
