dataset,n_cells,n_cycles,r2,rmse,mae
CALCE,3,2941,0.5678764726067165,14.155331877704725,10.441495795913836
Oxford,8,519,-2.693905554794426,13.1346022169473,12.509955832501772
HUST,77,146122,-0.152262172416346,7.919336854694415,5.715444946257381
XJTU,47,19238,-1.0587876298326924,8.628271589484443,6.444061022480997
