fold,r2,rmse,n_test
0,0.3758217692375183,6.188992407020723,39234
1,0.39423853158950806,5.970038948890496,41327
2,0.4931899309158325,5.145572959500523,36845
3,0.5678362846374512,4.816898466206261,38408
4,0.5171694755554199,5.204262732216495,36827
