method,domain,coverage,target_coverage,mean_width,width_std,width_min,width_max,n
Normalized CP,in-domain (eval),0.9401420134050037,0.9,2.131441597116733,1.1038911403092313,0.8861349848156408,10.160487824146287,15069
Normalized CP,"CALCE (out-of-domain, zero-retrain)",0.19279156749404963,0.9,6.5445716284396624,2.6547142234402195,4.868630580073329,18.414203264940994,2941
CQR,in-domain (eval),0.9262724799256752,0.9,3.5942148074710523,3.479964835846764,1.0258409809700737,37.9421536533029,15069
CQR,"CALCE (out-of-domain, zero-retrain)",0.21251275076504592,0.9,18.267178478307276,17.836497494166448,9.22270053962599,64.8908973552499,2941
