noise_level,sigma_V_mV,sigma_I_mA,sigma_T_degC,n,rmse,mae,r2,delta_rmse_vs_clean,delta_r2_vs_clean
clean (baseline),0.0,0.0,0.0,5208,0.6364677325885232,0.41644529877531117,0.9826815880951055,0.0,0.0
1x BMS-grade,1.0,10.0,0.5,5208,0.9450255310999828,0.5562578195876398,0.9618194336232023,0.3085577985114596,-0.020862154471903205
2x BMS-grade,2.0,20.0,1.0,5208,1.0870211821399505,0.6819862032118817,0.9494837275211279,0.4505534495514273,-0.03319786057397767
5x BMS-grade (stress),5.0,50.0,2.5,5208,1.7412340503927262,1.0560704149463769,0.8703807256594992,1.104766317804203,-0.11230086243560633
