battery_id,rmse
B0044,9.69714641571045
B0053,9.295699119567871
B0030,4.05658483505249
b4c25,2.924558162689209
b4c16,1.835731029510498
b4c34,1.7735340595245361
b4c43,1.7141512632369995
b2c47,1.3966292142868042
b4c3,1.396175503730774
b3c26,1.3720165491104126
B0025,1.3416646718978882
b4c39,1.3158683776855469
b4c20,1.2370076179504395
b1c5,1.1414127349853516
b2c0,1.1286276578903198
b2c9,1.102807641029358
b2c19,0.97673499584198
b4c11,0.9350019693374634
b1c41,0.819739818572998
b4c8,0.8009435534477234
b3c30,0.759681761264801
b2c23,0.7344455122947693
b1c23,0.661551833152771
b3c4,0.6580421328544617
b3c12,0.6557989120483398
b2c41,0.6363874673843384
b2c28,0.6301701068878174
b3c44,0.6211099624633789
b3c21,0.6149735450744629
b3c8,0.595301628112793
b2c14,0.5879541635513306
b3c17,0.5586928129196167
b1c32,0.5236722826957703
b3c35,0.4997209310531616
b2c37,0.4981955587863922
b2c32,0.4707205891609192
b1c19,0.4520757496356964
b1c13,0.4267577826976776
b1c28,0.3947450816631317
b1c37,0.3917718529701233
