domain,half_width,empirical_coverage,target_coverage
NASA+MIT (in-domain),2.2174034823926263,0.9456961294049683,0.9
"CALCE (out-of-domain, zero-retrain, MMD-aligned)",2.2174034823926263,0.0435226113566814,0.9
