battery_id,rmse
B0030,12.266145706176758
B0044,7.873045444488525
B0053,4.907423496246338
b3c26,2.1046931743621826
b4c25,1.9725008010864258
b3c21,1.8247196674346924
b4c16,1.765994668006897
b3c17,1.7169947624206543
b4c34,1.6469686031341553
b2c9,1.5254909992218018
b1c41,1.3802903890609741
b1c5,1.3522175550460815
b4c43,1.2612909078598022
B0025,1.185446858406067
b3c35,1.1334000825881958
b1c23,1.1015405654907227
b4c3,1.0693509578704834
b2c0,1.0389817953109741
b1c28,1.0365581512451172
b4c11,0.9851120710372925
b4c39,0.9749066233634949
b2c28,0.9371180534362793
b2c14,0.9321743249893188
b1c19,0.8933114409446716
b4c20,0.8920959830284119
b2c47,0.8524823784828186
b1c13,0.8399275541305542
b3c4,0.8133503198623657
b2c37,0.760066568851471
b2c41,0.7134113311767578
b1c37,0.6827155351638794
b2c19,0.6795669198036194
b3c12,0.6127690672874451
b1c32,0.5994867086410522
b2c23,0.559458315372467
b2c32,0.5523121953010559
b3c30,0.49717000126838684
b4c8,0.46320608258247375
b3c44,0.4436071813106537
b3c8,0.41104158759117126
