dataset,n_cycles,n_cells,auc_8hi_only,auc_8hi_plus_16fusion,max_abs_zscore
CALCE,2941,3,0.988066831478243,0.9999961706563154,3.1467116063064138
Oxford,519,8,0.9999479926601503,1.0,3.265215544848933
HUST,146122,77,0.9993055904154611,0.9999737524126225,2.8851291342087086
XJTU,19238,47,0.9998836148702652,1.0,9.127126923068765
