dataset,horizon,rmse_model,rmse_persistence_baseline,model_beats_persistence,true_soh_std_at_horizon,n
in-domain (test batteries),1,0.6293233105972751,0.6200365114413391,False,4.5735910302207365,1022
in-domain (test batteries),2,0.4321420942509367,0.4170364380830417,False,4.59249869565561,1022
in-domain (test batteries),3,0.4149979954712127,0.40973954846093696,False,4.643169471828614,1022
in-domain (test batteries),4,0.4176230550487225,0.4292909224457632,True,4.691937950519986,1022
in-domain (test batteries),5,0.5020086328072855,0.5255419357712463,True,4.757641286087235,1022
in-domain (test batteries),6,0.6689028157816955,0.6423552603841893,False,4.72292595031724,1022
in-domain (test batteries),7,0.48796052491598285,0.48380862366684874,False,4.74532802372627,1022
in-domain (test batteries),8,0.4824755993891429,0.5185412660334435,True,4.796691936502485,1022
in-domain (test batteries),9,0.49877178730408167,0.568053266368084,True,4.844497301410049,1022
in-domain (test batteries),10,0.5721950122919066,0.6548740843489738,True,4.91185050985587,1022
CALCE,1,3.3544374183719827,3.3530082609212175,False,20.824765184144866,578
CALCE,2,3.461217108411074,3.4615900687478365,True,20.85310840883353,578
CALCE,3,3.379624433245752,3.384892207884312,True,21.085012705241272,578
CALCE,4,4.867224817611523,4.891821963118626,True,21.273786671085762,578
CALCE,5,4.1792625871690445,4.190478913998969,True,21.264060846374818,578
CALCE,6,3.519519618308089,3.5256010159051243,True,21.12198445537826,578
CALCE,7,3.607323675057352,3.6322344919979956,True,21.147379501181547,578
CALCE,8,3.5203860663750364,3.5575541163776436,True,21.37446068480988,578
CALCE,9,4.879452769915578,4.938355474430564,True,21.551386278720624,578
CALCE,10,4.2078856139209,4.251561271059295,True,21.544579520320703,578
Oxford,1,0.6303168262906849,0.7367837759562058,True,5.320647664524667,77
Oxford,2,0.5575690288944237,0.8618503277297843,True,5.1695481914790005,77
Oxford,3,0.6764330117999812,1.1929719185744299,True,5.08215823620833,77
Oxford,4,0.6879808369805915,1.414057457045457,True,5.016567772960694,77
Oxford,5,0.7691559978691445,1.7312812857098074,True,4.970934839586636,77
Oxford,6,1.1164722289224425,2.2318761421851376,True,4.933701594042771,77
Oxford,7,1.107881729595649,2.460176852755839,True,4.777610612907865,77
Oxford,8,1.2487926707460426,2.8079181941358184,True,4.664527089472421,77
Oxford,9,1.295874128807769,3.0513484210740844,True,4.628222188670744,77
Oxford,10,1.5429324473836368,3.4915944897114626,True,4.826245457093095,77
HUST,1,0.04857410009695665,0.02726907715869513,False,7.297361346644474,28965
HUST,2,0.08721552920872608,0.04052700991357382,False,7.304994824696611,28965
HUST,3,0.12355886140044203,0.0550934273175738,False,7.3124612415350185,28965
HUST,4,0.15528512854338078,0.07017950533259301,False,7.319747905142778,28965
HUST,5,0.18228709695548356,0.08580022384360142,False,7.326907847191009,28965
HUST,6,0.2065383575382209,0.10168608095411437,False,7.334140936073886,28965
HUST,7,0.23081518717885996,0.11781530772527185,False,7.3417030016991305,28965
HUST,8,0.2577854508025399,0.13383806867578052,False,7.349138554459129,28965
HUST,9,0.28966190061309943,0.14991374598547857,False,7.356354794497516,28965
HUST,10,0.3268349327197226,0.16622073324417966,False,7.363495516401494,28965
XJTU,1,1.922851214061792,1.9201123913322835,False,5.793978111799191,3687
XJTU,2,2.4520808687011044,2.4507264156406605,False,5.7384108836429215,3687
XJTU,3,2.5637695027520313,2.564782303394708,True,5.757879338481792,3687
XJTU,4,2.3265336460537296,2.3289844437629807,True,5.793195573676037,3687
XJTU,5,2.0649951819981363,2.0670261954850653,True,5.905827938575709,3687
XJTU,6,1.3849907881171792,1.3833066175873896,False,6.00526975875325,3687
XJTU,7,2.0072813911751615,2.0083504277244204,True,5.929990669177835,3687
XJTU,8,2.444062997789369,2.452363445441954,True,5.949153944580353,3687
XJTU,9,2.724009084340542,2.7389432459415453,True,6.0049605312069145,3687
XJTU,10,2.4812251155928053,2.4966580124957263,True,6.125064233437691,3687
