epoch,train_loss,val_loss
0,0.7900922659306794,2.1738195419311523
1,0.5961853277953053,1.7319738864898682
2,0.5394037566710598,1.5615345239639282
3,0.49734976742313575,1.3112133741378784
4,0.4638274064507688,1.206658124923706
5,0.43823229725232965,1.061115026473999
6,0.4178498946011616,1.0984150171279907
7,0.3973586010063584,0.9259268045425415
8,0.37863378581736934,0.9021344780921936
9,0.3610004375311675,0.8452833890914917
10,0.33910146670139646,0.7318193912506104
11,0.318905071585696,0.6024855971336365
12,0.30015554907236,0.6058962941169739
13,0.2809745738562275,0.5558716058731079
14,0.26933564177627634,0.5912530422210693
15,0.25115862099417896,0.49295273423194885
16,0.23902859669818863,0.5590446591377258
17,0.22857861864471876,0.5442361831665039
18,0.21736658352793312,0.49944281578063965
19,0.20759169608292116,0.4407176673412323
20,0.19658838972411832,0.36032116413116455
21,0.1948568371895073,0.3086680471897125
22,0.1850361244576575,0.35857608914375305
23,0.18107473489524734,0.38991087675094604
24,0.18211694022941918,0.3489459156990051
