battery_id,5x BMS-grade (stress),clean,delta_r2
B0025,-4.579554557800293,-2.298595428466797,-2.280959129333496
B0030,-0.2318580150604248,0.12822508811950684,-0.36008310317993164
B0044,0.9424307346343994,0.9651433825492859,-0.022712647914886475
B0053,-131.08627319335938,-442.4919128417969,311.4056396484375
b1c13,0.839348316192627,0.9885178208351135,-0.14916950464248657
b1c19,0.9170415997505188,0.9825415015220642,-0.06549990177154541
b1c23,0.8828131556510925,0.9796909093856812,-0.09687775373458862
b1c28,0.9266586303710938,0.9928840398788452,-0.06622540950775146
b1c32,0.9048084020614624,0.9942876100540161,-0.08947920799255371
b1c37,0.9008134603500366,0.996496856212616,-0.09568339586257935
b1c41,0.9046297669410706,0.9814870953559875,-0.07685732841491699
b1c5,0.8540041446685791,0.947236180305481,-0.09323203563690186
b2c0,0.7989457249641418,0.9651055335998535,-0.16615980863571167
b2c14,0.8955361247062683,0.9903608560562134,-0.09482473134994507
b2c19,0.7452932596206665,0.9823398590087891,-0.23704659938812256
b2c23,0.8787941336631775,0.9975997805595398,-0.1188056468963623
b2c28,0.9344907402992249,0.9967418313026428,-0.06225109100341797
b2c32,0.8502044677734375,0.9918677806854248,-0.1416633129119873
b2c37,0.8802193999290466,0.9860098958015442,-0.10579049587249756
b2c41,0.8878908753395081,0.9965065121650696,-0.10861563682556152
b2c47,0.8257113099098206,0.9592361450195312,-0.1335248351097107
b2c9,0.7301205396652222,0.8166368007659912,-0.08651626110076904
b3c12,0.8892156481742859,0.9647386074066162,-0.07552295923233032
b3c17,0.7839252352714539,0.9913257956504822,-0.20740056037902832
b3c21,0.7931525707244873,0.9685279726982117,-0.17537540197372437
b3c26,0.8640987277030945,0.965314507484436,-0.10121577978134155
b3c30,0.9198567271232605,0.9758501052856445,-0.05599337816238403
b3c35,0.8799513578414917,0.9874014854431152,-0.10745012760162354
b3c4,0.8632982969284058,0.9472532272338867,-0.08395493030548096
b3c44,0.9054179191589355,0.9887677431106567,-0.08334982395172119
b3c8,0.9153046011924744,0.9896689057350159,-0.0743643045425415
b4c11,0.9403135180473328,0.9928480982780457,-0.05253458023071289
b4c16,0.9387644529342651,0.9754225611686707,-0.03665810823440552
b4c20,0.9562624096870422,0.9799281358718872,-0.02366572618484497
b4c25,0.9771029949188232,0.9771242141723633,-2.1219253540039062e-05
b4c3,0.9751448035240173,0.9894008040428162,-0.014256000518798828
b4c34,0.8631218075752258,0.9756272435188293,-0.11250543594360352
b4c39,0.8680046200752258,0.9363604784011841,-0.06835585832595825
b4c43,0.9829191565513611,0.9934740662574768,-0.010554909706115723
b4c8,0.952880859375,0.986526608467102,-0.03364574909210205
