noise_level,sigma_V_mV,sigma_I_mA,sigma_T_degC,n,rmse,mae,r2,delta_rmse_vs_clean,delta_r2_vs_clean
clean (baseline),0.0,0.0,0.0,5208,1.392057601367466,0.9593311761358876,0.9171543527393436,0.0,0.0
1x BMS-grade,1.0,10.0,0.5,5208,1.3713812043333573,0.9223872621586406,0.919597108229344,-0.020676397034108618,0.0024427554900003923
2x BMS-grade,2.0,20.0,1.0,5208,1.3814485194284485,0.8965902934319109,0.9184122993677195,-0.01060908193901744,0.0012579466283758611
5x BMS-grade (stress),5.0,50.0,2.5,5208,1.3613981272263473,0.8136063980930763,0.9207634458199702,-0.03065947414111858,0.003609093080626513
