battery_id,rmse_mse,rmse_pseudohuber
B0025,1.5727036669524546,2.88761977566616
B0030,3.4036965228030374,3.811052864611899
B0044,5.405844606085526,9.265530497096321
B0053,9.74289011632685,18.9711097264389
b1c13,0.18273904500918287,0.31774236758687313
b1c19,0.40469586889321274,0.5871334063732774
b1c23,0.3124209598180739,2.564655700924389
b1c28,0.15764386992285173,0.9285012909784849
b1c32,0.2977508806416397,1.0676863665672072
b1c37,0.36378721694519867,1.197753755353562
b1c41,0.4681367977713741,1.003589407218403
b1c5,1.4607844979014826,1.5104644059973693
b2c0,0.3257384336530507,4.462284027399748
b2c14,0.43820364935593814,3.0590667429575804
b2c19,1.4312318652049851,4.471125585213683
b2c23,0.2880120020712079,1.4037521007257572
b2c28,0.1962185030716007,2.59054381324053
b2c32,0.19226704359998154,2.703273456161565
b2c37,0.24712390658187217,1.83395248571843
b2c41,0.2303075403671514,2.152251380717903
b2c47,1.691560555217806,3.4683626385696535
b2c9,1.552556198020512,1.8067404156321358
b3c12,0.48983621571849884,4.961482259253574
b3c17,0.8186722359849417,0.7779029653742116
b3c21,1.1200062828143103,1.3342030410196772
b3c26,0.8638579342434691,0.8471151148128475
b3c30,0.4830341057951596,0.5872498526538084
b3c35,0.600013050664988,0.6208140691097818
b3c4,1.0328203980897657,0.975217210925372
b3c44,0.3300861762012429,3.2239865391329006
b3c8,0.22444791194593855,2.7789112928963915
b4c11,0.26820595877603015,1.5754003920347877
b4c16,0.4347708712775829,1.1371791034390837
b4c20,0.7175980359416835,1.5004423325565386
b4c25,1.9826755799023708,2.881230382763472
b4c3,0.6945253267193381,0.7920070894572463
b4c34,0.40386737505697456,1.2407653170601183
b4c39,0.8443566930457558,3.3371243349739363
b4c43,1.1233991602982196,1.88080984208637
b4c8,0.8157741471216298,2.5321659131553345
