config,indomain_r2,calce_r2,split_conformal_coverage,split_conformal_width,jackknife_coverage,jackknife_width
baseline,0.9173317495826276,0.3507032711706859,0.16626997619857192,4.919843330781646,0.21319279156749404,11.699040053172036
1.1_alone,0.9773853930145538,0.5529738149852719,0.09452567154029241,2.1455266153469954,0.34376062563753823,11.352285167394957
1.5_alone,0.9484440361066332,0.3822873114650275,0.2431145868752125,5.560296347677138,0.3277796667800068,11.943343168613238
1.1_plus_1.5,0.9749633554669137,0.5671701451999462,0.06732403944236655,2.3315267577021075,0.37062223733424005,11.890039855068816
