fold,n_test_batteries,n_test_rows,rmse,mae,r2
0,40,30640,0.5893627562548429,0.3310044594176961,0.990802764114576
1,41,30637,0.709786901178127,0.26187646077445814,0.9911026032823417
2,40,30644,0.6686469164398001,0.30198406410205464,0.9931635573883069
3,42,30664,1.721478702805998,0.36467282002559803,0.9352092862012501
4,41,30659,0.5637049767648106,0.2613375817109067,0.9959965628764447
